id;date;details;status;payment_method;payment_date;payment_amount
1;2024-11-28T21:07:45;warmly boo for;ISSUED;CREDIT_CARD;2024-11-29T11:09:16;11387.86
2;2024-11-28T22:23:50;tuxedo because;CANCELLED;CASH_ON_DELIVERY;2024-11-28T19:37:03;1606.37
3;2024-11-29T03:25:32;even enormously pink;CANCELLED;PAYPAL;2024-11-29T08:43:53;10250.27
4;2024-11-28T17:41:42;highlight obediently ecstatic;CANCELLED;CREDIT_CARD;2024-11-28T18:06:07;21982.23
5;2024-11-28T20:23:11;though;PAID;CREDIT_CARD;2024-11-29T00:45:24;26207.37
6;2024-11-29T04:54:32;boss scrape;PAID;CASH_ON_DELIVERY;2024-11-28T22:06:50;3800.64
7;2024-11-29T03:07:41;ah howl fork;CANCELLED;PAYPAL;2024-11-29T11:41:39;32514.44
8;2024-11-29T11:04:23;smug unless;PAID;CREDIT_CARD;2024-11-29T11:54:05;25656.86
9;2024-11-29T10:46:07;widow until;CANCELLED;PAYPAL;2024-11-28T18:38:17;30089.82
10;2024-11-28T15:12:32;whether agitated;ISSUED;CREDIT_CARD;2024-11-29T11:33:23;31275.98
