id;name;description;price;size_type;image;image_content_type
1;low er yippee;barring of;30784.81;M;../fake-data/blob/hipster.png;image/png
2;oh;rubbery;18911.23;XL;../fake-data/blob/hipster.png;image/png
3;unique;nephew;21852.88;XL;../fake-data/blob/hipster.png;image/png
4;once;extricate;12651.69;XXL;../fake-data/blob/hipster.png;image/png
5;viciously warmly;gradient crank lazy;30224.59;XXL;../fake-data/blob/hipster.png;image/png
6;crumble hm;gymnast;21669.1;XL;../fake-data/blob/hipster.png;image/png
7;indeed oblong worth;whether;13761.49;XL;../fake-data/blob/hipster.png;image/png
8;secularize hopelessly;alongside pulverize;9363.24;XXL;../fake-data/blob/hipster.png;image/png
9;while;meh including;20998.16;M;../fake-data/blob/hipster.png;image/png
10;until because er;boulevard partridge;2861.23;S;../fake-data/blob/hipster.png;image/png
