id;placed_date;status;code;customer_id
1;2024-11-28T15:54:36;CANCELLED;what inside;1
2;2024-11-28T18:44:13;COMPLETED;afore;2
3;2024-11-28T21:20:22;COMPLETED;properly orchestrate;3
4;2024-11-29T07:17:55;CANCELLED;generously;4
5;2024-11-28T18:18:41;COMPLETED;contractor section finally;5
6;2024-11-29T10:58:08;PENDING;gadzooks proofread successfully;6
7;2024-11-29T07:53:53;CANCELLED;where aw or;7
8;2024-11-29T08:04:32;PENDING;which hm moisten;8
9;2024-11-28T22:24:02;COMPLETED;whenever afore;9
10;2024-11-28T21:51:45;CANCELLED;if;10
